Base domain,Top-Level Keyword,Top-level page link,,,,,,,,,
https://malagaeventgear.com/,audio visual rental,https://malagaeventgear.com/audio-visual-rental/,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Type,Status,Publication date/time,Updated POP PageRun Score?,Indexed (GSC),Top Level Keyword,Keyword,Keyword URL,Top-level page link,Supporting-level page link 1,Supporting-level page link 2,Custom page link
Supporting Keyword,,,FALSE,FALSE,wedding rentals,wedding centerpiece rentals near me,https://malagaeventgear.com/wedding-centerpiece-rentals-near-me/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,,,FALSE,FALSE,wedding rentals,wedding bar and cocktail table rental,https://malagaeventgear.com/wedding-bar-and-cocktail-table-rental/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,,,FALSE,FALSE,wedding rentals,vintage wedding decor rentals,https://malagaeventgear.com/vintage-wedding-decor-rentals/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,,,FALSE,FALSE,wedding rentals,rustic wedding decor rental,https://malagaeventgear.com/rustic-wedding-decor-rental/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,,,FALSE,FALSE,wedding rentals,luxury wedding decor rental services,https://malagaeventgear.com/luxury-wedding-decor-rental-services/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,published,,TRUE,TRUE,wedding rentals,all-in-one wedding rental packages,https://malagaeventgear.com/all-in-one-wedding-rental-packages/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,draft,,FALSE,FALSE,wedding rentals,affordable wedding decor packages,https://malagaeventgear.com/affordable-wedding-decor-packages/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,,,FALSE,FALSE,wedding rentals,wedding arch rental inspiration,https://malagaeventgear.com/wedding-arch-rental-inspiration/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,scheduled,3/2/2026 6:27:00,FALSE,FALSE,wedding rentals,weather considerations for outdoor rentals,https://malagaeventgear.com/weather-considerations-for-outdoor-rentals/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,,,FALSE,FALSE,wedding rentals,vintage style wedding rental pieces,https://malagaeventgear.com/vintage-style-wedding-rental-pieces/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
Supporting Keyword,published,1/7/2026 6:54:00,TRUE,TRUE,wedding rentals,unique wedding ceremony rentals,https://malagaeventgear.com/unique-wedding-ceremony-rentals/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/audio-visual-rental-for-weddings/,
Supporting Keyword,scheduled,3/1/2026 7:06:00,FALSE,FALSE,wedding rentals,trending wedding rental ideas,https://malagaeventgear.com/trending-wedding-rental-ideas/,https://malagaeventgear.com/wedding-rentals/,https://malagaeventgear.com/wedding-pack/,https://malagaeventgear.com/,
